,Company,Max,Min,Movements,companies,labels
0,ACIO,26693,4406,22287,ACIO,0
1,ACSI,1,25299,-25298,ACSI,2
2,ACWV,14287,882,13405,ACWV,0
3,ADFI,22521,22062,459,ADFI,3
4,ADME,16110,25766,-9656,ADME,1
5,AESR,16111,18853,-2742,AESR,1
6,AFIF,27169,36794,-9625,AFIF,1
7,AGT,7,7527,-7520,AGT,1
8,ALFA,17940,1328,16612,ALFA,0
9,ALTS,16115,17483,-1368,ALTS,3
10,AMER,16116,20233,-4117,AMER,1
11,APRZ,31491,30048,1443,APRZ,3
12,ARCM,1772,25309,-23537,ARCM,2
13,ARKG,6641,1332,5309,ARKG,3
14,ARKQ,24845,22531,2314,ARKQ,3
15,ARKX,33420,33904,-484,ARKX,3
16,ATMP,5307,12942,-7635,ATMP,1
17,AUGZ,19322,17032,2290,AUGZ,3
18,AVDG,18405,6200,12205,AVDG,0
19,AVDR,17949,18865,-916,AVDR,3
20,BAPR,34392,28134,6258,BAPR,3
21,BAUG,16125,21158,-5033,BAUG,1
22,BBAX,16126,15670,456,BBAX,3
23,BBCA,16127,15671,456,BBCA,3
24,BBEU,16128,33913,-17785,BBEU,2
25,BBIN,16129,33914,-17785,BBIN,2
26,BBJP,16130,903,15227,BBJP,0
27,BBRE,25,21164,-21139,BBRE,2
28,BBSA,16132,8440,7692,BBSA,3
29,BBUS,16133,15677,456,BBUS,3
30,BDEC,16134,8890,7244,BDEC,3
31,BFEB,16135,25791,-9656,BFEB,1
32,BGLD,7996,24396,-16400,BGLD,2
33,BJAN,16137,8445,7692,BJAN,3
34,BJUL,16138,7552,8586,BJUL,3
35,BJUN,14318,911,13407,BJUN,0
36,BLDG,33,2674,-2641,BLDG,1
37,BMAR,18424,17052,1372,BMAR,3
38,BMAY,7109,4441,2668,BMAY,3
39,BNOV,7110,18885,-11775,BNOV,1
40,BOB,16144,17055,-911,BOB,3
41,BOCT,7112,7559,-447,BOCT,3
42,BOSS,18429,25337,-6908,BOSS,1
43,BSEP,7114,7561,-447,BSEP,3
44,BUFD,16148,31524,-15376,BUFD,2
45,BUFF,40,15238,-15198,BUFF,2
46,BUFR,41,480,-439,BUFR,3
47,BUYZ,14786,481,14305,BUYZ,0
48,CALF,24412,25343,-931,CALF,3
49,CBOE,25344,18895,6449,CBOE,3
50,CBTG,23026,4452,18574,CBTG,0
51,CEFS,35388,12526,22862,CEFS,0
52,CEMB,19357,22568,-3211,CEMB,1
53,CFCV,24417,18899,5518,CFCV,3
54,CNYA,16158,11169,4989,CNYA,3
55,COWZ,16159,929,15230,COWZ,0
56,CSM,16160,930,15230,CSM,0
57,DALT,17987,4901,13086,DALT,0
58,DAPR,33463,34913,-1450,DAPR,3
59,DAUG,19821,5348,14473,DAUG,0
60,DBJA,54,18905,-18851,DBJA,2
61,DBOC,7131,18906,-11775,DBOC,1
62,DDEC,1817,16620,-14803,DDEC,2
63,DDLS,16166,6244,9922,DDLS,3
64,DDWM,58,33953,-33895,DDWM,2
65,DECZ,8028,15712,-7684,DECZ,1
66,DEFA,33471,25825,7646,DEFA,3
67,DEFN,16170,25361,-9191,DEFN,1
68,DFEB,24431,18913,5518,DFEB,3
69,DFHY,18455,8928,9527,DFHY,3
70,DFND,18456,29624,-11168,DFND,1
71,DFNL,16174,944,15230,DFNL,0
72,DFNV,20292,6698,13594,DFNV,0
73,DFVL,946,28667,-27721,DFVL,2
74,DFVS,16632,19378,-2746,DFVS,1
75,DINT,20295,22590,-2295,DINT,3
76,DIVB,16179,15723,456,DIVB,3
77,DJAN,16180,15269,911,DJAN,3
78,DJUL,7148,7595,-447,DJUL,3
79,DJUN,7149,14817,-7668,DJUN,1
80,DMAR,24909,25374,-465,DMAR,3
81,DMAY,73,15727,-15654,DMAY,2
82,DNOV,7151,513,6638,DNOV,3
83,DOCT,19386,18927,459,DOCT,3
84,DRSK,11197,10290,907,DRSK,3
85,DSEP,16187,516,15671,DSEP,0
