Company,Change
 Apple,16.022
 Amazon,-78.5675
 American Express,8.126
 Boeing,111.6019
 Bank of America,-4.0698
 Chevron,21.901
 Ford,-5.6601
 General Electrics,4.8531
 Honda,-9.06
 IBM,18.884
 Intel,20.0416
 Johnson & Johnson,31.88
 Coca Cola,13.3811
 Lockheed Martin,60.84
 MasterCard,25.525
 McDonalds,53.0452
 Mitsubishi,30.5241
 Microsoft,29.5423
 Navistar,-0.78
 Northrop Grumman,78.345
 Pepsi,40.1469
 Sony,3.1701
 Symantec,13.1851
 Toyota,-19.985
 Texas Instruments,31.1973
 Valero Energy,28.52
 Walgreen,-1.4829
 Exxon,9.03
